test_accuracy,nlayers,pool,stride,whiten,triangle,greedy,inhib,lambda,classLr,wnorm,w_lr,l_lr,b_lr,hsize,AHfactor
0.5727,1,True,1,True,False,False,Softmax,500,0.0005,4e-05,0.0004,9e-05,0.0007,128,-0.4
0.5669,1,True,1,True,False,False,Softmax,500,0.0005,4e-05,0.0004,9e-05,0.0007,128,-0.33
0.5731,1,True,1,True,False,False,Softmax,500,0.0005,4e-05,0.0004,9e-05,0.0007,128,-0.5
0.5562,1,True,1,True,False,False,Softmax,500,0.0005,4e-05,0.0004,9e-05,0.0007,128,0.66
0.5597,1,True,1,True,False,False,Softmax,500,0.0005,4e-05,0.0004,9e-05,0.0007,128,1
0.5671,1,True,1,True,False,False,Softmax,500,0.0005,4e-05,0.0004,9e-05,0.0007,128,-0.1
0.5671,1,True,1,True,False,False,Softmax,500,0.0005,4e-05,0.0004,9e-05,0.0007,128,0
0.5639,1,True,1,True,False,False,Softmax,500,0.0005,4e-05,0.0004,9e-05,0.0007,128,0.33
0.5654,1,True,1,True,False,False,Softmax,500,0.0005,4e-05,0.0004,9e-05,0.0007,128,-0.33
0.571,1,True,1,True,False,False,Softmax,500,0.0005,4e-05,0.0004,9e-05,0.0007,128,-0.25
0.5715,1,True,1,True,False,False,Softmax,500,0.0005,4e-05,0.0004,9e-05,0.0007,128,-0.5
0.562,1,True,1,True,False,False,Softmax,500,0.0005,4e-05,0.0004,9e-05,0.0007,128,-0.4
0.5675,1,True,1,True,False,False,Softmax,500,0.0005,4e-05,0.0004,9e-05,0.0007,128,0.66
0.5558,1,True,1,True,False,False,Softmax,500,0.0005,4e-05,0.0004,9e-05,0.0007,128,1
0.5572,1,True,1,True,False,False,Softmax,500,0.0005,4e-05,0.0004,9e-05,0.0007,128,0.66
0.5555,1,True,1,True,False,False,Softmax,500,0.0005,4e-05,0.0004,9e-05,0.0007,128,0.66
0.5725,1,True,1,True,False,False,Softmax,500,0.0005,4e-05,0.0004,9e-05,0.0007,128,-0.25
0.5716,1,True,1,True,False,False,Softmax,500,0.0005,4e-05,0.0004,9e-05,0.0007,128,-0.1
0.5685,1,True,1,True,False,False,Softmax,500,0.0005,4e-05,0.0004,9e-05,0.0007,128,0
0.5607,1,True,1,True,False,False,Softmax,500,0.0005,4e-05,0.0004,9e-05,0.0007,128,0.1
0.5632,1,True,1,True,False,False,Softmax,500,0.0005,4e-05,0.0004,9e-05,0.0007,128,-0.33
0.5732,1,True,1,True,False,False,Softmax,500,0.0005,4e-05,0.0004,9e-05,0.0007,128,-0.4
0.5636,1,True,1,True,False,False,Softmax,500,0.0005,4e-05,0.0004,9e-05,0.0007,128,0.33
0.5584,1,True,1,True,False,False,Softmax,500,0.0005,4e-05,0.0004,9e-05,0.0007,128,1
