test_accuracy,nlayers,pool,stride,whiten,triangle,greedy,inhib,lambda,classLr,wnorm,w_lr,l_lr,b_lr,hsize,MHsigma
0.2741,1,False,2,False,False,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.2565,1,True,1,False,False,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.3342,1,False,1,False,True,True,Softmax,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.2745,1,False,2,False,False,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.2444,1,True,1,False,False,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.3336,1,False,1,False,True,True,Softmax,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.2766,1,False,2,False,False,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.2541,1,True,1,False,False,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.3264,1,False,1,False,True,True,Softmax,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.2898,1,False,2,False,False,True,Softmax,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.3388,1,False,1,False,False,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.2499,1,True,1,False,False,True,Softmax,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.2838,1,False,2,False,False,True,Softmax,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.2463,1,True,1,False,False,True,Softmax,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.3346,1,False,1,False,False,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.2743,1,False,2,False,False,True,Softmax,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.2666,1,True,1,False,False,True,Softmax,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.3296,1,False,1,False,False,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.279,1,False,2,False,False,True,Softmax,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.2508,1,True,1,False,False,True,Softmax,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.3217,1,False,1,False,False,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.2855,1,False,2,False,False,True,Softmax,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.2713,1,True,1,False,False,True,Softmax,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.334,1,False,1,False,False,True,RePU,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.3327,1,False,1,False,False,True,Softmax,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.3277,1,False,1,False,False,True,Softmax,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.3366,1,False,1,False,False,True,Softmax,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.3378,1,False,1,False,False,True,Softmax,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.3501,1,False,1,False,False,True,Softmax,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.3372,1,False,1,False,False,True,Softmax,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3

