test_accuracy,nlayers,pool,stride,whiten,triangle,greedy,inhib,lambda,classLr,wnorm,w_lr,l_lr,b_lr
0.5625,1,True,1,True,True,True,Softmax,125,0.0009,0.0001,0.1,0.3,0.001,512
0.5762,1,True,1,True,True,True,Softmax,125,0.001,0.0001,0.1,0.3,0.001,512
0.5674,1,True,1,True,True,True,Softmax,125,0.0003,0.0001,0.1,0.3,0.001,512
0.572,1,True,1,True,True,True,Softmax,125,0.0007,0.0001,0.1,0.3,0.001,512
0.5674,1,True,1,True,True,True,Softmax,125,0.0005,0.0001,0.1,0.3,0.001,512
0.5685,1,True,1,True,True,True,Softmax,125,0.0004,0.0001,0.1,0.3,0.001,512
0.5677,1,True,1,True,True,True,Softmax,125,0.0008,0.0001,0.1,0.3,0.001,512
0.5695,1,True,1,True,True,True,Softmax,125,0.0006,0.0001,0.1,0.3,0.001,512

anti-hebbian repu:

0.4815,1,True,1,True,True,True,RePU,500,0.3,0.0001,0.1,0.3,0.001
0.4816,1,True,1,True,True,True,RePU,500,0.5,0.0001,0.1,0.3,0.001
0.4714,1,True,1,True,True,True,RePU,500,0.03,0.0001,0.1,0.3,0.001
0.4879,1,True,1,True,True,True,RePU,500,0.01,0.0001,0.1,0.3,0.001
0.5036,1,True,1,True,True,True,RePU,500,0.0033,0.0001,0.1,0.3,0.001
0.4657,1,True,1,True,True,True,RePU,500,0.1,0.0001,0.1,0.3,0.001
0.5521,1,True,1,True,True,True,RePU,500,0.001,0.0001,0.1,0.3,0.001
0.4817,1,True,1,True,True,True,RePU,500,0.3,0.0001,0.1,0.3,0.001
0.4655,1,True,1,True,True,True,RePU,500,0.5,0.0001,0.1,0.3,0.001
0.4725,1,True,1,True,True,True,RePU,500,0.1,0.0001,0.1,0.3,0.001
0.5551,1,True,1,True,True,True,RePU,500,0.001,0.0001,0.1,0.3,0.001
0.4884,1,True,1,True,True,True,RePU,500,0.01,0.0001,0.1,0.3,0.001
0.5178,1,True,1,True,True,True,RePU,500,0.0033,0.0001,0.1,0.3,0.001
0.4802,1,True,1,True,True,True,RePU,500,0.03,0.0001,0.1,0.3,0.001
0.4657,1,True,1,True,True,True,RePU,500,0.3,0.0001,0.1,0.3,0.001
0.4718,1,True,1,True,True,True,RePU,500,0.5,0.0001,0.1,0.3,0.001
0.558,1,True,1,True,True,True,RePU,500,0.001,0.0001,0.1,0.3,0.001
0.4707,1,True,1,True,True,True,RePU,500,0.1,0.0001,0.1,0.3,0.001
0.4808,1,True,1,True,True,True,RePU,500,0.3,0.0001,0.1,0.3,0.001
