test_accuracy,nlayers,pool,stride,whiten,triangle,greedy,inhib,lambda,classLr,wnorm,w_lr,l_lr,b_lr
0.547,1,True,1,True,False,True,RePU,500,0.001,0.0033,0.01,0.1,0.0033,512
0.101,1,True,1,True,False,True,RePU,500,0.001,0.3,0.01,0.1,0.0033,512
0.1013,1,True,1,True,False,True,RePU,500,0.001,0.3,0.01,0.1,0.0033,512
0.5744,1,True,1,True,False,True,RePU,500,0.001,0.0001,0.01,0.1,0.0033,512
0.1008,1,True,1,True,False,True,RePU,500,0.001,0.1,0.01,0.1,0.0033,512
0.5703,1,True,1,True,False,True,RePU,500,0.001,0.001,0.01,0.1,0.0033,512
0.5699,1,True,1,True,False,True,RePU,500,0.001,0.001,0.01,0.1,0.0033,512
0.5795,1,True,1,True,False,True,RePU,500,0.001,0.0001,0.01,0.1,0.0033,512
0.4685,1,True,1,True,False,True,RePU,500,0.001,0.01,0.01,0.1,0.0033,512
0.5221,1,True,1,True,False,True,RePU,500,0.001,0.0033,0.01,0.1,0.0033,512
0.1011,1,True,1,True,False,True,RePU,500,0.001,0.1,0.01,0.1,0.0033,512
0.4885,1,True,1,True,False,True,RePU,500,0.001,0.01,0.01,0.1,0.0033,512
0.5314,1,True,1,True,False,True,RePU,500,0.001,0.0033,0.01,0.1,0.0033,512
0.1011,1,True,1,True,False,True,RePU,500,0.001,0.3,0.01,0.1,0.0033,512
0.5658,1,True,1,True,False,True,RePU,500,0.001,0.001,0.01,0.1,0.0033,512
0.5738,1,True,1,True,False,True,RePU,500,0.001,0.001,0.01,0.1,0.0033,512
0.1006,1,True,1,True,False,True,RePU,500,0.001,0.1,0.01,0.1,0.0033,512
0.1014,1,True,1,True,False,True,RePU,500,0.001,0.3,0.01,0.1,0.0033,512
0.4649,1,True,1,True,False,True,RePU,500,0.001,0.01,0.01,0.1,0.0033,512
0.5751,1,True,1,True,False,True,RePU,500,0.001,0.0001,0.01,0.1,0.0033,512
0.5245,1,True,1,True,False,True,RePU,500,0.001,0.0033,0.01,0.1,0.0033,512
0.5733,1,True,1,True,False,True,RePU,500,0.001,0.0001,0.01,0.1,0.0033,512

anti-hebbian Softmax:

0.5002,1,True,1,True,False,True,Softmax,500,0.001,0.01,0.01,0.1,0.0033,512
0.1015,1,True,1,True,False,True,Softmax,500,0.001,0.3,0.01,0.1,0.0033,512
