test_accuracy,nlayers,pool,stride,whiten,triangle,greedy,inhib,lambda,classLr,wnorm,w_lr,l_lr,b_lr
0.5527,1,True,1,True,True,True,Softmax,500,0.001,0.0001,0.1,0.3,0.01,512
0.534,1,True,1,True,True,True,Softmax,500,0.001,0.0001,0.1,0.3,0.1,512
0.5584,1,True,1,True,True,True,Softmax,500,0.001,0.0001,0.1,0.3,0.0033,512
0.5365,1,True,1,True,True,True,Softmax,500,0.001,0.0001,0.1,0.3,0.1,512
0.5396,1,True,1,True,True,True,Softmax,500,0.001,0.0001,0.1,0.3,0.01,512
0.553,1,True,1,True,True,True,Softmax,500,0.001,0.0001,0.1,0.3,0.001,512
0.5589,1,True,1,True,True,True,Softmax,500,0.001,0.0001,0.1,0.3,0.0033,512
0.5543,1,True,1,True,True,True,Softmax,500,0.001,0.0001,0.1,0.3,0.001,512
0.523,1,True,1,True,True,True,Softmax,500,0.001,0.0001,0.1,0.3,0.3,512
0.5319,1,True,1,True,True,True,Softmax,500,0.001,0.0001,0.1,0.3,0.5,512
