test_accuracy,nlayers,pool,stride,whiten,triangle,greedy,inhib,lambda,classLr,wnorm,w_lr,l_lr,b_lr,hsize,MHsigma
0.2623,1,True,1,True,False,True,Softmax,500,0.001,0.0001,0.001,0.001,0.0033,512,0
0.2493,1,True,1,True,False,True,Softmax,500,0.001,0.0001,0.001,0.001,0.0033,512,0.7
0.2487,1,True,1,True,False,True,Softmax,500,0.001,0.0001,0.001,0.001,0.0033,512,1
0.2588,1,True,1,True,False,True,Softmax,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.2696,1,True,1,True,False,True,Softmax,500,0.001,0.0001,0.001,0.001,0.0033,512,0.5
0.2558,1,True,1,True,False,True,Softmax,500,0.001,0.0001,0.001,0.001,0.0033,512,10
0.2629,1,True,1,True,False,True,Softmax,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.2436,1,True,1,True,False,True,Softmax,500,0.001,0.0001,0.001,0.001,0.0033,512,5
0.2581,1,True,1,True,False,True,Softmax,500,0.001,0.0001,0.001,0.001,0.0033,512,8
0.2673,1,True,1,True,False,True,Softmax,500,0.001,0.0001,0.001,0.001,0.0033,512,1.5
0.2445,1,True,1,True,False,True,Softmax,500,0.001,0.0001,0.001,0.001,0.0033,512,2.5
0.2674,1,True,1,True,False,True,Softmax,500,0.001,0.0001,0.001,0.001,0.0033,512,0.5
0.2568,1,True,1,True,False,True,Softmax,500,0.001,0.0001,0.001,0.001,0.0033,512,1
0.2762,1,True,1,True,False,True,Softmax,500,0.001,0.0001,0.001,0.001,0.0033,512,0.1
0.2577,1,True,1,True,False,True,Softmax,500,0.001,0.0001,0.001,0.001,0.0033,512,0.05
0.2528,1,True,1,True,False,True,Softmax,500,0.001,0.0001,0.001,0.001,0.0033,512,0
0.2455,1,True,1,True,False,True,Softmax,500,0.001,0.0001,0.001,0.001,0.0033,512,0.01
0.2653,1,True,1,True,False,True,Softmax,500,0.001,0.0001,0.001,0.001,0.0033,512,10
0.2585,1,True,1,True,False,True,Softmax,500,0.001,0.0001,0.001,0.001,0.0033,512,2.5
0.2573,1,True,1,True,False,True,Softmax,500,0.001,0.0001,0.001,0.001,0.0033,512,8
0.2411,1,True,1,True,False,True,Softmax,500,0.001,0.0001,0.001,0.001,0.0033,512,5
0.2423,1,True,1,True,False,True,Softmax,500,0.001,0.0001,0.001,0.001,0.0033,512,1.5
0.2484,1,True,1,True,False,True,Softmax,500,0.001,0.0001,0.001,0.001,0.0033,512,0.5
0.2525,1,True,1,True,False,True,Softmax,500,0.001,0.0001,0.001,0.001,0.0033,512,0.3
0.2468,1,True,1,True,False,True,Softmax,500,0.001,0.0001,0.001,0.001,0.0033,512,0.7
0.2785,1,True,1,True,False,True,Softmax,500,0.001,0.0001,0.001,0.001,0.0033,512,1
0.2549,1,True,1,True,False,True,Softmax,500,0.001,0.0001,0.001,0.001,0.0033,512,0.01
0.2647,1,True,1,True,False,True,Softmax,500,0.001,0.0001,0.001,0.001,0.0033,512,0.05
