test_accuracy,hsize,lambda,w_lr,b_lr,l_lr,triangle,white,func
0.656,256,5,0.01,0.1,0.01,true,true,repu
0.7742,256,5,0.01,0.1,0.01,true,true,repu
0.7459,256,5,0.01,0.1,0.01,true,true,repu
0.7545,256,5,0.01,0.1,0.01,true,true,repu
0.7621,256,5,0.01,0.1,0.01,true,true,repu
0.7131,256,5,0.01,0.1,0.01,true,true,repu
0.6934,1024,5,0.01,0.1,0.01,true,true,repu
0.6462,1024,5,0.01,0.1,0.01,true,true,repu
0.6058,512,5,0.01,0.1,0.01,true,true,repu
0.5835,512,5,0.01,0.1,0.01,true,true,repu
0.7262,512,5,0.01,0.1,0.01,true,true,repu
0.5751,512,5,0.01,0.1,0.01,true,true,repu
0.695,512,5,0.01,0.1,0.01,true,true,repu
0.6621,512,5,0.01,0.1,0.01,true,true,repu
0.6266,512,5,0.01,0.1,0.01,true,true,repu
0.6457,512,5,0.01,0.1,0.01,true,true,repu
0.723,512,5,0.01,0.1,0.01,true,true,repu
0.6432,512,5,0.01,0.1,0.01,true,true,repu
0.6421,1024,5,0.01,0.1,0.01,true,true,repu
0.6327,1024,5,0.01,0.1,0.01,true,true,repu
0.6249,1024,5,0.01,0.1,0.01,true,true,repu
0.7214,1024,5,0.01,0.1,0.01,true,true,repu
0.6583,1024,5,0.01,0.1,0.01,true,true,repu
0.5231,1024,5,0.01,0.1,0.01,true,true,repu
0.7457,1024,5,0.01,0.1,0.01,true,true,repu
0.6888,1024,5,0.01,0.1,0.01,true,true,repu
0.098,256,5,0.01,0.1,0.01,true,true,softmax
0.098,256,5,0.01,0.1,0.01,true,true,softmax
0.098,256,5,0.01,0.1,0.01,true,true,softmax
0.098,256,5,0.01,0.1,0.01,true,true,softmax
0.098,256,5,0.01,0.1,0.01,true,true,softmax
0.098,256,5,0.01,0.1,0.01,true,true,softmax
0.098,256,5,0.01,0.1,0.01,true,true,softmax
0.098,256,5,0.01,0.1,0.01,true,true,softmax
0.098,256,5,0.01,0.1,0.01,true,true,softmax
0.098,256,5,0.01,0.1,0.01,true,true,softmax
0.098,256,5,0.01,0.1,0.01,true,true,softmax
0.098,256,5,0.01,0.1,0.01,true,true,softmax
0.098,256,5,0.01,0.1,0.01,true,true,softmax
0.098,256,5,0.01,0.1,0.01,true,true,softmax
0.098,256,5,0.01,0.1,0.01,true,true,softmax
0.098,256,5,0.01,0.1,0.01,true,true,softmax
0.098,256,5,0.01,0.1,0.01,true,true,softmax
0.098,256,5,0.01,0.1,0.01,true,true,softmax
0.098,256,5,0.01,0.1,0.01,true,true,softmax
0.098,256,5,0.01,0.1,0.01,true,true,softmax
0.098,256,27,0.01,0.1,0.01,true,true,softmax
0.098,256,9,0.01,0.1,0.01,true,true,softmax
0.098,256,3,0.01,0.1,0.01,true,true,softmax
0.098,256,3,0.01,0.1,0.01,true,true,softmax
0.098,256,9,0.01,0.1,0.01,true,true,softmax
0.098,256,3,0.01,0.1,0.01,true,true,softmax
0.7342,256,81,0.01,0.1,0.01,true,true,softmax
0.7073,256,81,0.01,0.1,0.01,true,true,softmax
0.6876,256,81,0.01,0.1,0.01,true,true,softmax
0.6992,256,81,0.01,0.1,0.01,true,true,softmax
0.098,256,27,0.01,0.1,0.01,true,true,softmax
0.098,256,0.33,0.01,0.1,0.01,true,true,softmax
0.098,256,0.33,0.01,0.1,0.01,true,true,softmax
0.098,256,3,0.01,0.1,0.01,true,true,softmax
0.6381,256,81,0.01,0.1,0.01,true,true,softmax
0.098,256,0.33,0.01,0.1,0.01,true,true,softmax
0.6392,256,81,0.01,0.1,0.01,true,true,softmax
0.098,256,9,0.01,0.1,0.01,true,true,softmax
0.6239,256,81,0.01,0.1,0.01,true,true,softmax
0.098,256,0.33,0.01,0.1,0.01,true,true,softmax
0.098,256,9,0.01,0.1,0.01,true,true,softmax
0.098,256,9,0.01,0.1,0.01,true,true,softmax
0.098,256,9,0.01,0.1,0.01,true,true,softmax
0.098,256,0.33,0.01,0.1,0.01,true,true,softmax
0.6609,256,81,0.01,0.1,0.01,true,true,softmax
0.098,256,27,0.01,0.1,0.01,true,true,softmax
0.098,256,9,0.01,0.1,0.01,true,true,softmax
0.098,256,0.33,0.01,0.1,0.01,true,true,softmax
0.7202,256,81,0.01,0.1,0.01,true,true,softmax
0.098,256,3,0.01,0.1,0.01,true,true,softmax
0.098,256,3,0.01,0.1,0.01,true,true,softmax
0.098,256,9,0.01,0.1,0.01,true,true,softmax
0.098,256,9,0.01,0.1,0.01,true,true,softmax
0.098,256,27,0.01,0.1,0.01,true,true,softmax
0.098,256,0.33,0.01,0.1,0.01,true,true,softmax
0.098,256,1,0.01,0.1,0.01,true,true,softmax
0.098,256,1,0.01,0.1,0.01,true,true,softmax
0.098,256,27,0.01,0.1,0.01,true,true,softmax
0.098,256,27,0.01,0.1,0.01,true,true,softmax
0.098,256,27,0.01,0.1,0.01,true,true,softmax
0.098,256,3,0.01,0.1,0.01,true,true,softmax
0.098,256,27,0.01,0.1,0.01,true,true,softmax
0.098,256,1,0.01,0.1,0.01,true,true,softmax
0.098,256,1,0.01,0.1,0.01,true,true,softmax
0.098,256,3,0.01,0.1,0.01,true,true,softmax
0.098,256,1,0.01,0.1,0.01,true,true,softmax
0.098,256,3,0.01,0.1,0.01,true,true,softmax
0.098,256,1,0.01,0.1,0.01,true,true,softmax
0.098,256,27,0.01,0.1,0.01,true,true,softmax
0.098,256,1,0.01,0.1,0.01,true,true,softmax
0.098,256,1,0.01,0.1,0.01,true,true,softmax
0.098,256,1,0.01,0.1,0.01,true,true,softmax
0.6981,256,729,0.01,0.1,0.01,true,true,softmax
0.6933,256,729,0.01,0.1,0.01,true,true,softmax
0.712,256,729,0.01,0.1,0.01,true,true,softmax
0.6452,256,243,0.01,0.1,0.01,true,true,softmax
0.6676,256,243,0.01,0.1,0.01,true,true,softmax
0.6835,256,243,0.01,0.1,0.01,true,true,softmax
0.7256,256,729,0.01,0.1,0.01,true,true,softmax
0.6622,256,243,0.01,0.1,0.01,true,true,softmax
0.6936,256,243,0.01,0.1,0.01,true,true,softmax
0.555,256,729,0.01,0.1,0.01,true,true,softmax
0.7234,256,729,0.01,0.1,0.01,true,true,softmax
0.098,256,0.11,0.01,0.1,0.01,true,true,softmax
0.098,256,0.11,0.01,0.1,0.01,true,true,softmax
0.671,256,243,0.01,0.1,0.01,true,true,softmax
0.7487,256,243,0.01,0.1,0.01,true,true,softmax
0.7272,256,729,0.01,0.1,0.01,true,true,softmax
0.663,256,243,0.01,0.1,0.01,true,true,softmax
0.6523,256,729,0.01,0.1,0.01,true,true,softmax
0.6654,256,729,0.01,0.1,0.01,true,true,softmax
0.7073,256,243,0.01,0.1,0.01,true,true,softmax
0.6611,256,729,0.01,0.1,0.01,true,true,softmax
0.098,256,0.11,0.01,0.1,0.01,true,true,softmax
0.098,256,0.11,0.01,0.1,0.01,true,true,softmax
0.098,256,0.11,0.01,0.1,0.01,true,true,softmax
0.098,256,0.11,0.01,0.1,0.01,true,true,softmax
0.098,256,0.11,0.01,0.1,0.01,true,true,softmax
0.098,256,0.11,0.01,0.1,0.01,true,true,softmax
0.098,256,0.11,0.01,0.1,0.01,true,true,softmax
0.098,256,0.11,0.01,0.1,0.01,true,true,softmax
0.1028,1,243,0.01,0.1,0.01,true,true,softmax
0.1028,1,243,0.01,0.1,0.01,true,true,softmax
0.4184,16,243,0.01,0.1,0.01,true,true,softmax
0.629,16,243,0.01,0.1,0.01,true,true,softmax
0.1028,1,243,0.01,0.1,0.01,true,true,softmax
0.5715,16,243,0.01,0.1,0.01,true,true,softmax
0.5951,32,243,0.01,0.1,0.01,true,true,softmax
0.1135,1,243,0.01,0.1,0.01,true,true,softmax
0.5462,16,243,0.01,0.1,0.01,true,true,softmax
0.5681,32,243,0.01,0.1,0.01,true,true,softmax
0.6602,64,243,0.01,0.1,0.01,true,true,softmax
0.5956,16,243,0.01,0.1,0.01,true,true,softmax
0.6272,64,243,0.01,0.1,0.01,true,true,softmax
0.628,32,243,0.01,0.1,0.01,true,true,softmax
0.6316,64,243,0.01,0.1,0.01,true,true,softmax
0.6443,32,243,0.01,0.1,0.01,true,true,softmax
0.4968,32,243,0.01,0.1,0.01,true,true,softmax
0.7068,64,243,0.01,0.1,0.01,true,true,softmax
0.6126,16,243,0.01,0.1,0.01,true,true,softmax
0.6391,32,243,0.01,0.1,0.01,true,true,softmax
0.6411,64,243,0.01,0.1,0.01,true,true,softmax
0.627,32,243,0.01,0.1,0.01,true,true,softmax
0.6504,32,243,0.01,0.1,0.01,true,true,softmax
0.1028,1,243,0.01,0.1,0.01,true,true,softmax
0.6659,32,243,0.01,0.1,0.01,true,true,softmax
0.1028,1,243,0.01,0.1,0.01,true,true,softmax
0.6515,64,243,0.01,0.1,0.01,true,true,softmax
0.1028,1,243,0.01,0.1,0.01,true,true,softmax
0.6812,128,243,0.01,0.1,0.01,true,true,softmax
0.5334,16,243,0.01,0.1,0.01,true,true,softmax
0.101,1,243,0.01,0.1,0.01,true,true,softmax
0.6217,128,243,0.01,0.1,0.01,true,true,softmax
0.6858,128,243,0.01,0.1,0.01,true,true,softmax
0.6395,128,243,0.01,0.1,0.01,true,true,softmax
0.672,128,243,0.01,0.1,0.01,true,true,softmax
0.6411,128,243,0.01,0.1,0.01,true,true,softmax
0.1032,1,243,0.01,0.1,0.01,true,true,softmax
0.6754,128,243,0.01,0.1,0.01,true,true,softmax
0.624,16,243,0.01,0.1,0.01,true,true,softmax
0.098,1,243,0.01,0.1,0.01,true,true,softmax
0.6448,64,243,0.01,0.1,0.01,true,true,softmax
0.6577,64,243,0.01,0.1,0.01,true,true,softmax
0.6003,128,243,0.01,0.1,0.01,true,true,softmax
0.6378,16,243,0.01,0.1,0.01,true,true,softmax
0.6549,64,243,0.01,0.1,0.01,true,true,softmax
0.687,1024,243,0.01,0.1,0.01,true,true,softmax
0.6658,1024,243,0.01,0.1,0.01,true,true,softmax
0.6284,1024,243,0.01,0.1,0.01,true,true,softmax
0.6522,128,243,0.01,0.1,0.01,true,true,softmax
0.7048,64,243,0.01,0.1,0.01,true,true,softmax
0.6901,1024,243,0.01,0.1,0.01,true,true,softmax
0.5854,16,243,0.01,0.1,0.01,true,true,softmax
0.7231,512,243,0.01,0.1,0.01,true,true,softmax
0.7104,512,243,0.01,0.1,0.01,true,true,softmax
0.7308,512,243,0.01,0.1,0.01,true,true,softmax
0.7295,512,243,0.01,0.1,0.01,true,true,softmax
0.6889,512,243,0.01,0.1,0.01,true,true,softmax
0.709,512,243,0.01,0.1,0.01,true,true,softmax
0.7396,512,243,0.01,0.1,0.01,true,true,softmax
0.7149,512,243,0.01,0.1,0.01,true,true,softmax
0.6954,512,243,0.01,0.1,0.01,true,true,softmax
0.7154,1024,243,0.01,0.1,0.01,true,true,softmax
0.714,1024,243,0.01,0.1,0.01,true,true,softmax
0.7133,1024,243,0.01,0.1,0.01,true,true,softmax
0.7057,1024,243,0.01,0.1,0.01,true,true,softmax
0.6428,1024,243,0.01,0.1,0.01,true,true,softmax
0.7273,1024,243,0.01,0.1,0.01,true,true,softmax
0.7024,512,243,0.01,0.1,0.01,false,true,softmax
0.7504,512,243,0.01,0.1,0.01,false,true,softmax
0.7301,512,243,0.01,0.1,0.01,false,true,softmax
0.6546,512,243,0.01,0.1,0.01,false,true,softmax
0.6714,512,243,0.01,0.1,0.01,false,true,softmax
0.6503,512,243,0.01,0.1,0.01,false,true,softmax
0.7093,512,243,0.01,0.1,0.01,false,true,softmax
0.683,512,243,0.01,0.1,0.01,false,true,softmax
0.6711,512,243,0.01,0.1,0.01,false,true,softmax
0.7323,512,243,0.01,0.1,0.01,false,true,softmax
0.6729,512,243,0.01,0.1,0.01,true,false,softmax
0.7098,512,243,0.01,0.1,0.01,true,false,softmax
0.7165,512,243,0.01,0.1,0.01,true,false,softmax
0.7078,512,243,0.01,0.1,0.01,true,false,softmax
0.7017,512,243,0.01,0.1,0.01,true,false,softmax
0.6962,512,243,0.01,0.1,0.01,true,false,softmax
0.6991,512,243,0.01,0.1,0.01,true,false,softmax
0.7827,512,243,0.01,0.1,0.01,true,false,softmax
0.6068,512,243,0.01,0.1,0.01,true,false,softmax
0.6609,512,243,0.01,0.1,0.01,true,false,softmax
0.6682,512,243,0.01,0.1,0.01,true,true,softmax
0.7213,512,243,0.01,0.1,0.01,true,true,softmax
0.6626,512,243,0.01,0.1,0.01,true,true,softmax
0.7528,512,243,0.01,0.1,0.01,true,true,softmax
0.6325,512,243,0.01,0.1,0.01,true,true,softmax
0.6952,512,243,0.01,0.1,0.01,true,true,softmax
0.6861,512,243,0.01,0.1,0.01,true,true,softmax
0.6826,512,243,0.01,0.1,0.01,true,true,softmax
0.7001,512,243,0.01,0.1,0.01,true,true,softmax
0.7531,512,243,0.01,0.1,0.01,true,true,softmax
0.68,512,243,0.01,0.1,0.01,true,true,softmax
0.7437,512,243,0.01,0.1,0.01,true,true,softmax
0.6718,512,243,0.01,0.1,0.01,true,true,softmax
0.6939,512,243,0.01,0.1,0.01,true,true,softmax
0.6587,512,243,0.01,0.1,0.01,true,true,softmax
0.601,512,243,0.01,0.1,0.01,true,true,softmax
0.6989,512,243,0.01,0.1,0.01,true,true,softmax
0.6745,512,243,0.01,0.1,0.01,true,true,softmax
0.8158,512,243,0.1,0.1,0.01,true,true,softmax
0.8522,512,243,0.1,0.1,0.01,true,true,softmax
0.4313,512,243,0.001,0.1,0.01,true,true,softmax
0.3555,512,243,0.001,0.1,0.01,true,true,softmax
0.1755,512,243,0.001,0.1,0.01,true,true,softmax
0.3619,512,243,0.001,0.1,0.01,true,true,softmax
0.2041,512,243,0.001,0.1,0.01,true,true,softmax
0.0959,512,243,0.001,0.1,0.01,true,true,softmax
0.2915,512,243,0.001,0.1,0.01,true,true,softmax
0.8128,512,243,0.1,0.1,0.01,true,true,softmax
0.1789,512,243,0.001,0.1,0.01,true,true,softmax
0.8318,512,243,0.1,0.1,0.01,true,true,softmax
0.1032,512,243,0.0001,0.1,0.01,true,true,softmax
0.1032,512,243,0.0001,0.1,0.01,true,true,softmax
0.2925,512,243,0.001,0.1,0.01,true,true,softmax
0.28,512,243,0.001,0.1,0.01,true,true,softmax
0.8415,512,243,0.1,0.1,0.01,true,true,softmax
0.7776,512,243,0.1,0.1,0.01,true,true,softmax
0.82,512,243,0.1,0.1,0.01,true,true,softmax
0.1032,512,243,0.0001,0.1,0.01,true,true,softmax
0.0892,512,243,0.0001,0.1,0.01,true,true,softmax
0.8298,512,243,0.1,0.1,0.01,true,true,softmax
0.8061,512,243,0.1,0.1,0.01,true,true,softmax
0.1032,512,243,0.0001,0.1,0.01,true,true,softmax
0.1032,512,243,0.0001,0.1,0.01,true,true,softmax
0.1032,512,243,0.0001,0.1,0.01,true,true,softmax
0.1032,512,243,0.0001,0.1,0.01,true,true,softmax
0.8566,512,243,0.1,0.1,0.01,true,true,softmax
0.1032,512,243,0.0001,0.1,0.01,true,true,softmax
0.8186,512,243,0.3,0.1,0.01,true,true,softmax
0.8518,512,243,0.3,0.1,0.01,true,true,softmax
0.8166,512,243,0.3,0.1,0.01,true,true,softmax
0.8354,512,243,0.3,0.1,0.01,true,true,softmax
0.8487,512,243,0.3,0.1,0.01,true,true,softmax
0.8404,512,243,0.3,0.1,0.01,true,true,softmax
0.8151,512,243,0.3,0.1,0.01,true,true,softmax
0.8677,512,243,0.3,0.1,0.01,true,true,softmax
0.8028,512,243,0.3,0.1,0.01,true,true,softmax
0.8219,512,243,0.3,0.1,0.01,true,true,softmax
0.8085,512,243,0.3,0.0001,0.01,true,true,softmax
0.848,512,243,0.3,0.0001,0.01,true,true,softmax
0.829,512,243,0.3,0.0001,0.01,true,true,softmax
0.8345,512,243,0.3,0.0001,0.01,true,true,softmax
0.803,512,243,0.3,0.001,0.01,true,true,softmax
0.8176,512,243,0.3,0.001,0.01,true,true,softmax
0.8266,512,243,0.3,0.001,0.01,true,true,softmax
0.8203,512,243,0.3,0.001,0.01,true,true,softmax
0.8427,512,243,0.3,0.001,0.01,true,true,softmax
0.8508,512,243,0.3,0,0.01,true,true,softmax
0.8195,512,243,0.3,0.001,0.01,true,true,softmax
0.8366,512,243,0.3,0.0001,0.01,true,true,softmax
0.8151,512,243,0.3,0.0001,0.01,true,true,softmax
0.8212,512,243,0.3,0.0001,0.01,true,true,softmax
0.8475,512,243,0.3,0,0.01,true,true,softmax
0.8227,512,243,0.3,0.001,0.01,true,true,softmax
0.8358,512,243,0.3,0.0001,0.01,true,true,softmax
0.842,512,243,0.3,0.0001,0.01,true,true,softmax
0.8263,512,243,0.3,0,0.01,true,true,softmax
0.8645,512,243,0.3,0,0.01,true,true,softmax
0.8626,512,243,0.3,0.001,0.01,true,true,softmax
0.8097,512,243,0.3,0.0001,0.01,true,true,softmax
0.8222,512,243,0.3,0.001,0.01,true,true,softmax
0.821,512,243,0.3,0,0.01,true,true,softmax
0.8402,512,243,0.3,0,0.01,true,true,softmax
0.7957,512,243,0.3,0.001,0.01,true,true,softmax
0.8269,512,243,0.3,0,0.01,true,true,softmax
0.8293,512,243,0.3,0,0.01,true,true,softmax
0.8607,512,243,0.3,0.01,0.01,true,true,softmax
0.8433,512,243,0.3,0,0.01,true,true,softmax
0.8455,512,243,0.3,0,0.01,true,true,softmax
0.8495,512,243,0.3,0.01,0.01,true,true,softmax
0.8553,512,243,0.3,0.01,0.01,true,true,softmax
0.8001,512,243,0.3,0.01,0.01,true,true,softmax
0.868,512,243,0.3,0.01,0.01,true,true,softmax
0.8512,512,243,0.3,0.01,0.01,true,true,softmax
0.8196,512,243,0.3,0.01,0.01,true,true,softmax
0.8314,512,243,0.3,0.01,0.0001,true,true,softmax
0.8345,512,243,0.3,0.01,0.0001,true,true,softmax
0.8439,512,243,0.3,0.01,0.0001,true,true,softmax
0.8285,512,243,0.3,0.01,0.0001,true,true,softmax
0.836,512,243,0.3,0.01,0.1,true,true,softmax
0.8406,512,243,0.3,0.01,0.1,true,true,softmax
0.8537,512,243,0.3,0.01,0.0001,true,true,softmax
0.8237,512,243,0.3,0.01,0.0001,true,true,softmax
0.7966,512,243,0.3,0.01,0.0001,true,true,softmax
0.8104,512,243,0.3,0.01,0.001,true,true,softmax
0.8205,512,243,0.3,0.01,0.0001,true,true,softmax
0.8555,512,243,0.3,0.01,0.0001,true,true,softmax
0.8592,512,243,0.3,0.01,0.1,true,true,softmax
0.8475,512,243,0.3,0.01,0.1,true,true,softmax
0.8016,512,243,0.3,0.01,0.001,true,true,softmax
0.8612,512,243,0.3,0.01,0.1,true,true,softmax
0.8448,512,243,0.3,0.01,0.0001,true,true,softmax
0.8018,512,243,0.3,0.01,0.1,true,true,softmax
0.8758,512,243,0.3,0.01,0.1,true,true,softmax
0.8102,512,243,0.3,0.01,0.1,true,true,softmax
0.8372,512,243,0.3,0.01,0.001,true,true,softmax
0.8455,512,243,0.3,0.01,0.1,true,true,softmax
0.7964,512,243,0.3,0.01,0,true,true,softmax
0.8282,512,243,0.3,0.01,0.1,true,true,softmax
0.8117,512,243,0.3,0.01,0.001,true,true,softmax
0.824,512,243,0.3,0.01,0,true,true,softmax
0.8457,512,243,0.3,0.01,0,true,true,softmax
